restaurant_name,email,phone,cuisine_type,address,google_rating,review_count,website,facebook,instagram,first_name,city
The Verdict Lounge & Restaurant,theverdictnola@gmail.com,(504) 264-7824,Restaurant,"9301 Lake Forest Blvd Ste 100, New Orleans, LA 70127",4.6,64.0,https://theverdictlounge.com/,,,Owner,New Orleans
Brutto Americano,info@bruttoamericano.com,(504) 930-3070,Italian restaurant,"600 Carondelet St, New Orleans, LA 70130",4.6,57.0,https://www.bruttoamericano.com/,,http://www.instagram.com/brutto_americano,Owner,New Orleans
Huey P's Pizzeria and Daiquiris - Tulane Ave/Mid-City,eat@hueyps.com,(504) 302-7451,Pizza restaurant,"2424 Tulane Ave Suite 1A, New Orleans, LA 70119",4.6,45.0,https://hueyps.com/,https://www.facebook.com/Hueypsgretna,https://www.instagram.com/hueypspizzeria/,Owner,New Orleans
Burger Nerds,burgernerds504@gmail.com,(504) 827-1215,Restaurant,"7537 Maple St, New Orleans, LA 70118",4.6,43.0,https://www.burgernerds.com/,,https://instagram.com/burger_nerds,Owner,New Orleans
Cafe Negril,manager@cafenegrilnola.com,(504) 229-4236,Restaurant,"608 Frenchmen St, New Orleans, LA 70116",4.6,32.0,http://cafenegrilnola.com/,https://www.facebook.com/cafenegrilNOLA/,https://www.instagram.com/cafenegrilnola/,Owner,New Orleans
John Gendusa Bakery Inc,contact@gendusabakery.com,(504) 283-2747,Wholesale bakery,"2009 Mirabeau Ave, New Orleans, LA 70122",4.6,19.0,http://www.gendusabakery.com/,https://www.facebook.com/John-Gendusa-Bakery-828215750523529/,,Owner,New Orleans
Batture Bistro and Bar,info@one11hotel.com,+1 504-699-8021,Restaurant,"111 Iberville St, New Orleans, LA 70130, United States",4.5,96.0,https://www.one11hotel.com/batture/,https://www.facebook.com/one11hotel/,https://www.instagram.com/explore,Owner,New Orleans
Hot Stuff,mason@turkeyandthewolf.com,(504) 381-4098,Barbecue restaurant,"7507 Maple St, New Orleans, LA 70118",4.5,86.0,http://www.hotstuffneworleans.com/,,https://www.instagram.com/hotstuffneworleans,Owner,New Orleans
McDonald's,info@mcdonalds.com,(504) 944-1712,Fast food restaurant,"4240 Louisa St, New Orleans, LA 70126",3.5,1957.0,https://www.mcdonalds.com/us/en-us/location/LA/NEW-ORLEANS/4240-LOUISA-ST/5462.html?cid=RF:YXT:GMB::Clicks,https://www.facebook.com/McDonalds/,https://www.instagram.com/mcdonalds/,Owner,New Orleans
Mr. Ed's PoBoy Shop & Drinks,pearlroomnola@gmail.com,+1 504-766-0176,Restaurant,"620 Iberville St, New Orleans, LA 70130, United States",4.4,82.0,https://mredsrestaurants.com/mr-eds-po-boy-shop,https://www.facebook.com/1452579098360786,,Owner,New Orleans
Applebee's Grill + Bar,comments@applemetro.com,+1 504-361-9700,American restaurant,"4005 General De Gaulle Dr, New Orleans, LA 70114, United States",3.6,1662.0,https://restaurants.applebees.com/en-us/la/new-orleans/4005-general-degaulle-90077?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=90077&utm_content=website,https://www.facebook.com/applebees,https://www.instagram.com/applebees,Owner,New Orleans
Sprouts Organic Cafe,info@sproutsorganiccafe.com,(504) 919-1221,Restaurant,"1200 Henriette Delille St, New Orleans, LA 70116",4.4,55.0,http://www.sproutsorganiccafe.com/,https://www.facebook.com/pg/Sproutsorganiccafe/,https://www.instagram.com/sproutsorganiccafe/,Owner,New Orleans
Cajun Seafood,downtown@cajunseafoodnola.com,(504) 241-1396,Seafood restaurant,"7020 Read Blvd, New Orleans, LA 70127",3.9,1042.0,http://cajunseafoodnola.com/main/inside.php?page=locations,,,Owner,New Orleans
New Orleans Coffee & Beignet Company,customerservice@allianzassistance.com,,Restaurant,"700 Tchoupitoulas St, New Orleans, LA 70130",4.4,34.0,https://www.marriott.com/en-us/hotels/msydt-renaissance-new-orleans-arts-warehouse-district-hotel/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108,https://www.facebook.com/RenaissanceNewOrleansArts/,https://www.instagram.com/renartsnola/,Owner,New Orleans
Nikkei Izakaya,info@cafecarmo.com,(504) 224-5657,Restaurant,"600 N Broad St, New Orleans, LA 70119",4.4,28.0,https://nikkeiizakaya.com/,https://www.facebook.com/463826883489279,https://www.instagram.com/nikkeiizakaya,Owner,New Orleans
Cafe Pontalba,info@neworleansrestaurants.com,(504) 522-1180,Restaurant,"546 St Peter, New Orleans, LA 70116",3.8,1172.0,http://www.neworleansrestaurants.com/cafe_pontalba/,https://www.facebook.com/nolarestaurants,,Owner,New Orleans
Popeyes Louisiana Kitchen,cliff.starman@popeyes.com,+1 504-269-8171,Fast food restaurant,"4238 S Claiborne Ave, New Orleans, LA 70125, United States",3.6,1569.0,https://www.popeyes.com/store-locator/store/restaurant_83379?utm_source=yext&utm_medium=referral&utm_campaign=organic-local-listings,http://facebook.com/expedientcommunications,,Owner,New Orleans
Twins,black9@qq.com,,Seafood restaurant,"10240 Chef Menteur Hwy, New Orleans, LA 70127",4.3,94.0,https://twinseafood.top/,,,Owner,New Orleans
McDonald's,info@mcdonalds.com,(504) 894-8691,Fast food restaurant,"2856 S Claiborne Ave, New Orleans, LA 70125",3.4,1890.0,https://www.mcdonalds.com/us/en-us/location/LA/NEW-ORLEANS/2856-SOUTH-CLAIBORNE/6969.html?cid=RF:YXT:GMB::Clicks,https://www.facebook.com/McDonalds/,https://www.instagram.com/mcdonalds/,Owner,New Orleans
Estrella Steak & Lobster,estrellasteak@gmail.com,(504) 525-6151,Restaurant,"237 Decatur St, New Orleans, LA 70130",3.9,890.0,https://estrellasteaknola.com/,https://www.facebook.com/531091377827266,https://www.instagram.com/estrellasteak_nola,Owner,New Orleans
Smoothie King,smoothieking831@comcast.net,(504) 841-9083,Fast food restaurant,"2000 Tulane Ave, New Orleans, LA 70112",4.3,86.0,https://locations.smoothieking.com/ll/us/la/new-orleans/2000-tulane-ave/?utm_source=google&utm_medium=organic&utm_content=SOCi,https://www.facebook.com/SKBowie15407ExcelsiorDrive/,,Owner,New Orleans
McDonald's,info@mcdonalds.com,(504) 248-5764,Fast food restaurant,"10001 I-10 Service Rd, New Orleans, LA 70127",3.4,1875.0,https://www.mcdonalds.com/us/en-us/location/LA/NEW-ORLEANS/10001-I-10-SERVICE-ROAD/4992.html?cid=RF:YXT:GMB::Clicks,https://www.facebook.com/McDonalds/,https://www.instagram.com/mcdonalds/,Owner,New Orleans
Son of a Bun Burger Bar,sonofabunburgerbar@gmail.com,+1 917-288-1871,Hamburger restaurant,"4734 Magazine St, New Orleans, LA 70115, United States",4.3,62.0,http://sonofabunburgerbar.com/,,https://www.instagram.com/sonofabunburgerbar,Owner,New Orleans
Popeyes Louisiana Kitchen,cliff.starman@popeyes.com,+1 504-486-6521,Chicken restaurant,"3100 S Carrollton Ave, New Orleans, LA 70118, United States",3.8,1043.0,https://www.popeyes.com/store-locator/store/restaurant_81826?utm_source=yext&utm_medium=referral&utm_campaign=organic-local-listings,http://facebook.com/expedientcommunications,,Owner,New Orleans
Church's Texas Chicken,socialmedia@churchs.com,+1 504-587-9721,Fast food restaurant,"1600 S Claiborne Ave, New Orleans, LA 70125, United States",3.7,1107.0,https://locations.churchs.com/la/new-orleans/1600-s.-claiborne-avenue,https://www.facebook.com/ChurchsChicken10295FergusonRdDallasTX/,https://www.instagram.com/churchschicken,Owner,New Orleans
Ginger Roux,rusty_figueredo@hilton.com,(504) 354-2850,Restaurant,"1100 Tulane Ave, New Orleans, LA 70112",4.2,72.0,https://www.hilton.com/en/hotels/msypypy-canopy-new-orleans-downtown/dining/,,,Owner,New Orleans
The Vault NOLA,reservations@thevaultnola.com,+1 504-453-2720,Restaurant,"501 Verret St, New Orleans, LA 70114, United States",4.2,65.0,https://thevaultnola.com/,https://www.facebook.com/The-Vault-NOLA-Restaurant-106266335833926,https://instagram.com/thevaultnola.restaurant,Owner,New Orleans
Hard Core BBQ,hardcorebbq@yahoo.com,(504) 298-6652,Restaurant,"1128 Tchoupitoulas St, New Orleans, LA 70130",4.2,33.0,https://m.facebook.com/HardCoreBBQnola/,https://www.facebook.com/login/,,Owner,New Orleans
Roly Poly Sandwiches,rolypolyhq@aol.com,(504) 561-9800,Fast food restaurant,"Inside, Hancock Whitney Center, 701 Poydras Street, on 1st Floor, New Orleans, LA 70139",4.2,25.0,http://rolypoly.com/,,,Owner,New Orleans
Twisted Waffles Nola,twistedwafflesllc@gmail.com,(504) 264-7176,Restaurant,"301 Dauphine St, New Orleans, LA 70112",3.9,614.0,http://twistedwaffles.com/,https://www.facebook.com/2118064561583400,https://www.instagram.com/twistedwaffles,Owner,New Orleans
Waffle House,socialmedia@wafflehouse.com,(504) 227-2100,Breakfast restaurant,"2631 General De Gaulle Dr, New Orleans, LA 70114",3.8,749.0,https://locations.wafflehouse.com/neworleans-la-2072,https://www.facebook.com/WaffleHouse/,https://www.instagram.com/wafflehouseofficial/,Owner,New Orleans
McDonald's,info@mcdonalds.com,(504) 240-4041,Fast food restaurant,"6005 Bullard Ave, New Orleans, LA 70128",3.4,1537.0,https://www.mcdonalds.com/us/en-us/location/LA/NEW-ORLEANS/6005-BULLARD-RD/11486.html?cid=RF:YXT:GMB::Clicks,https://www.facebook.com/McDonalds/,https://www.instagram.com/mcdonalds/,Owner,New Orleans
Taco Bell,info@locations.tacobell.com,+1 504-283-9006,Fast food restaurant,"4603 Chef Menteur Hwy, New Orleans, LA 70126, United States",3.6,1094.0,https://locations.tacobell.com/la/new-orleans/4603-chef-menteur-hwy.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=026773&utm_content=website&y_source=1_NjE0MzQxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.facebook.com/tacobell,https://www.instagram.com/tacobell,Owner,New Orleans
McDonald's,info@mcdonalds.com,(504) 309-4026,Fast food restaurant,"3443 S Carrollton Ave, New Orleans, LA 70118",3.4,1485.0,https://www.mcdonalds.com/us/en-us/location/LA/NEW-ORLEANS/3443-S-CARROLLTON/28002.html?cid=RF:YXT:GMB::Clicks,https://www.facebook.com/McDonalds/,https://www.instagram.com/mcdonalds/,Owner,New Orleans
Taco Bell,info@locations.tacobell.com,(504) 891-9301,Fast food restaurant,"2800 S Claiborne Ave, New Orleans, LA 70115",3.2,1853.0,https://locations.tacobell.com/la/new-orleans/2800-s-claiborne-ave.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=027665&utm_content=website&y_source=1_NjE0NDU5My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.facebook.com/tacobell,https://www.instagram.com/tacobell/,Owner,New Orleans
McDonald's,info@mcdonalds.com,(504) 309-0908,Fast food restaurant,"2757 Canal St, New Orleans, LA 70119",3.0,2252.0,https://www.mcdonalds.com/us/en-us/location/LA/NEW-ORLEANS/2757-CANAL-ST/2838.html?cid=RF:YXT:GMB::Clicks,https://www.facebook.com/McDonalds/,https://www.instagram.com/mcdonalds/,Owner,New Orleans
Green To Go,greentogonola@gmail.com,(504) 460-3160,Organic restaurant,"400 Poydras St # 130, New Orleans, LA 70130",4.1,47.0,http://www.greentogonola.com/,,http://www.instagram.com/greentogonola,Owner,New Orleans
Bijoux at Le Pavillon,patrickwilson@remingtonhotels.com,(504) 581-3111,Southern restaurant (US),"833 Poydras St, New Orleans, LA 70112",4.1,27.0,https://www.lepavillon.com/sip-savor,https://www.facebook.com/lepavillonneworleans/,https://www.instagram.com/lepavillonnola/,Owner,New Orleans
Popeyes Louisiana Kitchen,cliff.starman@popeyes.com,(504) 283-9670,Fast food restaurant,"6232 Elysian Fields Ave, New Orleans, LA 70122",3.6,930.0,https://www.popeyes.com/store-locator/store/restaurant_82169?utm_source=yext&utm_medium=referral&utm_campaign=organic-local-listings,http://facebook.com/expedientcommunications,,Owner,New Orleans
Devil Moon Barbecue,hello@devilmoonbbq.com,(504) 788-0093,Restaurant,"1188 Girod St, New Orleans, LA 70113",4.0,98.0,https://www.devilmoonbbq.com/,,https://www.instagram.com/devilmoonbbq/?hl=en,Owner,New Orleans
Public Service,social@publicservicenola.com,(504) 962-6527,American restaurant,"311 Baronne St, New Orleans, LA 70112",3.9,296.0,http://www.publicservicenola.com/,https://www.facebook.com/publicservicenola,https://www.instagram.com/publicservicenola/,Owner,New Orleans
Smoothie King,smoothieking831@comcast.net,+1 504-866-3555,Fast food restaurant,"6221 S Claiborne Ave, New Orleans, LA 70125, United States",4.0,79.0,https://locations.smoothieking.com/ll/us/la/new-orleans/6221-s-claiborne-ave/?utm_source=google&utm_medium=organic&utm_content=SOCi,https://www.facebook.com/SKBowie15407ExcelsiorDrive/,,Owner,New Orleans
Ma Momma's House at The Pythian Market,info@mamommashouse.com,(504) 920-2858,Breakfast restaurant,"234 Loyola Ave #14, New Orleans, LA 70112",4.0,76.0,http://www.mamommashouse.com/,https://www.facebook.com/mamommashouse,https://www.instagram.com/mamommashouse/,Owner,New Orleans
Café Normandie,info@higginshotelnola.com,(504) 528-1941,Restaurant,"On Campus at The National WWII Museum, 440 Andrew Higgins Blvd, New Orleans, LA 70130",4.0,58.0,https://www.higginshotelnola.com/new-orleans-restaurants/cafe-normandie,https://www.facebook.com/higginshotel,https://www.instagram.com/higginshotel/,Owner,New Orleans
Smoothie King,smoothieking831@comcast.net,(504) 309-8311,Fast food restaurant,"1515 Poydras St Building Ste. 160, New Orleans, LA 70112",4.0,39.0,https://locations.smoothieking.com/ll/us/la/new-orleans/1515-poydras-st-ste-160/?utm_source=google&utm_medium=organic&utm_content=SOCi,https://www.facebook.com/SKBowie15407ExcelsiorDrive/,,Owner,New Orleans
China Wall,info@beyondmenu.com,(504) 891-3445,Chinese restaurant,"3700 S Claiborne Ave, New Orleans, LA 70125",3.8,433.0,https://www.chinawall123.com/,,,Owner,New Orleans
Clarinet Bistreaux,clarinetbistreaux@hi-neworleans.com,(504) 581-6100,Restaurant,"330 Loyola Ave suite b, New Orleans, LA 70112",4.0,23.0,https://www.clarinetbistreaux.com/,https://www.facebook.com/holidayinnsuperdome/,,Owner,New Orleans
PizzaForno,support@pizzaforno.com,(888) 652-0957,Pizza restaurant,"2101 Leon C Simon Dr, New Orleans, LA 70122",4.0,5.0,https://pizzaforno.com/locations/pizzaforno-new-orleans-la-uno,https://www.facebook.com/thepizzaforno/,https://www.instagram.com/thepizzaforno,Owner,New Orleans
PizzaForno,support@pizzaforno.com,(888) 652-0957,Pizza restaurant,"2400 Canal St, New Orleans, LA 70119",4.0,1.0,https://pizzaforno.com/locations/pizzaforno-new-orleans-la-va-1204,https://www.facebook.com/thepizzaforno,https://www.instagram.com/thepizzaforno,Owner,New Orleans
China House,info@chinesemenuonline.com,(504) 368-5520,Chinese restaurant,"3600 MacArthur Blvd, New Orleans, LA 70114",3.9,166.0,http://www.chinahousenola.com/,,,Owner,New Orleans
Church's Texas Chicken,socialmedia@churchs.com,+1 504-944-6978,Chicken restaurant,"4301 St Claude Ave, New Orleans, LA 70117, United States",3.6,692.0,https://locations.churchs.com/la/new-orleans/4301-st.-claude-avenue,https://www.facebook.com/ChurchsChicken10295FergusonRdDallasTX/,https://www.instagram.com/churchschicken,Owner,New Orleans
Rock N Taco and Tequila Bar,anapbm@gmail.com,(504) 302-1933,Restaurant,"800 S Peters St, New Orleans, LA 70130",3.9,80.0,http://thetaconola.com/,,,Owner,New Orleans
McDonald's,info@mcdonalds.com,(504) 361-1377,Fast food restaurant,"3250 General De Gaulle Dr, New Orleans, LA 70114",3.1,1650.0,https://www.mcdonalds.com/us/en-us/location/LA/NEW-ORLEANS/3250-GENERAL-DEGAULLE-DR/31338.html?cid=RF:YXT:GMB::Clicks,https://www.facebook.com/McDonalds/,https://www.instagram.com/mcdonalds/,Owner,New Orleans
Subway,tammie_hatch@yahoo.com,+1 504-841-9184,Fast food restaurant,"1415 Tulane Ave, New Orleans, LA 70112, United States",3.9,47.0,https://restaurants.subway.com/united-states/la/new-orleans/1415-tulane-ave?y_source=1_MjA3MTIxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.facebook.com/SubwayMolndal/,,Owner,New Orleans
Alma Cafe,araujo@eatalmanola.com,+1 504-872-9975,Restaurant,"301 N Carrollton Ave, New Orleans, LA 70119, United States",3.9,43.0,http://www.eatalmanola.com/,http://facebook.com/eatalmanola,http://instagram.com/eatalmanola,Owner,New Orleans
Rimon,info@rimontulanehillel.com,(504) 232-0758,Kosher restaurant,"912 Broadway St, New Orleans, LA 70118",3.9,34.0,http://www.rimontulanehillel.com/,http://www.facebook.com/RimonTulane/,https://www.instagram.com/rimontulane,Owner,New Orleans
